learning_model,learning_model_gr_k5,learning_model_gr68,learning_model_gr912,time_period_start,time_period_end,enrollment_total,enrollment_in_person,enrollment_hybrid,enrollment_virtual,staff_count,staff_count_in_person
Closed,NA,NA,NA,2020-12-20T00:00:00Z,2020-12-26T00:00:00Z,1127,NA,NA,NA,79,NA
Closed,NA,NA,NA,2020-12-27T00:00:00Z,2021-01-02T00:00:00Z,1127,NA,NA,NA,79,NA
Virtual,Virtual,Virtual,NA,2021-01-03T00:00:00Z,2021-01-09T00:00:00Z,1127,NA,NA,NA,79,NA
Virtual,Virtual,Virtual,NA,2021-01-10T00:00:00Z,2021-01-16T00:00:00Z,1127,NA,NA,NA,79,NA
Virtual,Virtual,Virtual,NA,2021-01-17T00:00:00Z,2021-01-23T00:00:00Z,1127,NA,NA,NA,79,NA
Virtual,Virtual,Virtual,NA,2021-01-24T00:00:00Z,2021-01-30T00:00:00Z,1127,NA,NA,NA,79,NA
Virtual,Virtual,Virtual,NA,2021-01-31T00:00:00Z,2021-02-06T00:00:00Z,1127,NA,NA,NA,79,NA
Virtual,Virtual,Virtual,NA,2021-02-07T00:00:00Z,2021-02-13T00:00:00Z,1127,NA,NA,NA,79,NA
Closed,NA,NA,NA,2021-02-14T00:00:00Z,2021-02-20T00:00:00Z,1127,NA,NA,NA,79,NA
Virtual,Virtual,Virtual,NA,2021-02-21T00:00:00Z,2021-02-27T00:00:00Z,1127,NA,NA,NA,79,NA
Hybrid,Hybrid,Hybrid,NA,2021-02-28T00:00:00Z,2021-03-06T00:00:00Z,1127,NA,NA,NA,79,NA
Hybrid,Hybrid,Hybrid,NA,2021-03-07T00:00:00Z,2021-03-13T00:00:00Z,1127,NA,NA,NA,79,NA
Hybrid,Hybrid,Hybrid,NA,2021-03-14T00:00:00Z,2021-03-20T00:00:00Z,1127,NA,NA,NA,79,NA
Hybrid,Hybrid,Hybrid,NA,2021-03-21T00:00:00Z,2021-03-27T00:00:00Z,1127,NA,NA,NA,79,NA
Hybrid,Hybrid,Hybrid,NA,2021-03-28T00:00:00Z,2021-04-03T00:00:00Z,1127,NA,NA,NA,79,NA
