state,average_pass
CO,32.31431543184019
CT,50.27606362934354
MA,43.86267605633803
MN,46.03220192639225
MS,59.95365870267825
OH,58.88782787638262
RI,34.793472203943466
VA,54.15239903421113
WI,38.65994903242046
WV,32.072272727272725
WY,51.900121276577316
