state,average_students_per_teacher
OH,4.858887293782852
CO,6.548523037771374
CT,9.755664508087314
MN,7.324084581568167
MS,NA
RI,NA
MA,6.736223406782378
VA,11.150019643953684
WV,6.190121118356089
WI,6.557867157731292
WY,3.5794740368548226
