File,Area,total_loss_of_employment_income,percent_loss_of_employment_income
11,Missouri,2176367,47.3
11,Montana,418015,50.9
11,Nebraska,538990,38
11,Nevada,1567721,65.6
11,New Hampshire,498741,46.5
11,New Jersey,3724695,55.4
11,New Mexico,767252,48.5
11,New York,8544159,58.1
11,North Carolina,3659128,45.7
11,North Dakota,211682,38.1
11,Ohio,4154700,47.7
11,Oklahoma,1330910,45.8
11,Oregon,1721403,52.4
11,Pennsylvania,4667236,48.1
11,Rhode Island,434586,54
11,South Carolina,1810156,45.7
11,South Dakota,257975,40.3
11,Tennessee,2346152,45
11,Texas,11384721,53.5
11,Utah,925003,40.7
11,Vermont,232417,48.1
11,Virginia,2672318,41.4
11,Washington,2982260,50.9
11,West Virginia,624229,45.5
11,Wisconsin,2167178,49.1
11,Wyoming,204297,47.3
11,-> Metro Areas,NA,NA
11,"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",2242745,46
11,"Boston-Cambridge-Newton, MA-NH Metro Area",1917432,52.1
11,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",3909749,57.1
11,"Dallas-Fort Worth-Arlington, TX Metro Area",3002219,56.3
11,"Detroit-Warren-Dearborn, MI Metro Area",2173444,60.3
11,"Houston-The Woodlands-Sugar Land, TX Metro Area",3687668,59.2
11,"Los Angeles-Long Beach-Anaheim, CA Metro Area",6813877,66
11,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",2560878,56.6
11,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",8786098,59.6
11,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",2418533,49.2
11,"Phoenix-Mesa-Chandler, AZ Metro Area",2100169,52.3
11,"Riverside-San Bernardino-Ontario, CA Metro Area",2547701,60.2
11,"San Francisco-Oakland-Berkeley, CA Metro Area",1767281,50.1
11,"Seattle-Tacoma-Bellevue, WA Metro Area",1548914,49.9
11,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",2007450,44.1
