File,Area,total_loss_of_employment_income,percent_loss_of_employment_income
3,New York,8102985,54.9
3,North Carolina,3542592,44.4
3,North Dakota,193876,34.7
3,Ohio,3876668,44.2
3,Oklahoma,1140305,39.2
3,Oregon,1562737,47.4
3,Pennsylvania,5253912,53.9
3,Rhode Island,380726,46.7
3,South Carolina,1713773,43.4
3,South Dakota,268041,41.9
3,Tennessee,2355202,45.2
3,Texas,9845693,46.6
3,Utah,909726,40.1
3,Vermont,244877,50.6
3,Virginia,2750708,42.7
3,Washington,2547828,43.3
3,West Virginia,579374,42.2
3,Wisconsin,1813844,41
3,Wyoming,157341,36.5
3,-> Metro Areas,NA,NA
3,"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",2128175,51
3,"Boston-Cambridge-Newton, MA-NH Metro Area",1651195,43.1
3,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",3702920,52.1
3,"Dallas-Fort Worth-Arlington, TX Metro Area",3566954,53.3
3,"Detroit-Warren-Dearborn, MI Metro Area",2078195,57.1
3,"Houston-The Woodlands-Sugar Land, TX Metro Area",2818918,49.5
3,"Los Angeles-Long Beach-Anaheim, CA Metro Area",6641445,63.4
3,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",2904627,57.3
3,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",8215388,56
3,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",2540813,53.8
3,"Phoenix-Mesa-Chandler, AZ Metro Area",1802025,48.1
3,"Riverside-San Bernardino-Ontario, CA Metro Area",2579535,60.6
3,"San Francisco-Oakland-Berkeley, CA Metro Area",1798889,46.5
3,"Seattle-Tacoma-Bellevue, WA Metro Area",1523500,46
3,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",2044528,43.5
4,Alabama,1437102,38.8
4,Alaska,236656,45.3
4,Arizona,2554328,45.8
4,Arkansas,842207,37.6
4,California,15419448,51.9
4,Colorado,2143049,48.3
4,Connecticut,1303380,48
4,Delaware,306042,40.8
4,District of Columbia,226000,41.7
4,Florida,8604022,50.8
4,Georgia,3833526,48.4
4,Hawaii,631457,59.2
4,Idaho,535712,39.9
4,Illinois,4149811,43.7
4,Indiana,2200125,43.9
4,Iowa,940145,40.3
4,Kansas,918833,43.1
4,Kentucky,1470664,44.1
4,Louisiana,1655413,48.4
4,Maine,456203,43.1
4,Maryland,2070202,45.3
4,Massachusetts,2591401,48.8
4,Michigan,4363089,57.3
4,Minnesota,2003380,47.3
4,Mississippi,1113036,51
4,Missouri,1931278,42
4,Montana,290730,35.5
4,Nebraska,511948,36.1
4,Nevada,1376221,57.5
4,New Hampshire,470806,44
4,New Jersey,3589084,53.5
4,New Mexico,742728,46.9
