"state","average_pass","average_students_per_teacher"
"CO",32.3143154318402,6.54852303777137
"CT",50.2760636293435,9.75566450808731
"MA",43.862676056338,6.73622340678238
"MN",46.0322019263922,7.32408458156817
"MS",59.9536587026782,NA
"OH",58.8878278763826,4.85888729378285
"RI",34.7934722039435,NA
"VA",54.1523990342111,11.1500196439537
"WI",38.6599490324205,6.55786715773129
"WV",32.0722727272727,6.19012111835609
"WY",51.9001212765773,3.57947403685482
