"Loss of Employment Income, Household Pulse Survey",...2,...3,...4,...5,...6,...7,...8
"Adults in households where someone had a loss in employment income since March 13, 2020",NA,NA,NA,NA,NA,NA,NA
NA,NA,Total Loss of Employment Income,NA,Percent Loss of Employment Income,NA,NA,NA
Area,Week,Number,Margin of Error +/-,Percent,Percent Margin of Error +/-,Measure Universe,Total Population age 18+
"Phoenix-Mesa-Chandler, AZ Metro Area","4 - May 21-26, 2020",1802025,189982,48.1,4.3,3742530,"3,764,585"
"Riverside-San Bernardino-Ontario, CA Metro Area","4 - May 21-26, 2020",2579535,387912,60.6,5.1,4254589,"4,260,691"
"San Francisco-Oakland-Berkeley, CA Metro Area","4 - May 21-26, 2020",1798889,268393,46.5,4.7,3867683,"3,895,884"
"Seattle-Tacoma-Bellevue, WA Metro Area","4 - May 21-26, 2020",1523500,142985,46,3.7,3315102,"3,324,775"
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","4 - May 21-26, 2020",2044528,171661,43.5,2.9,4701579,"4,756,931"
"Source: U.S. Census Bureau, Household Pulse Survey",NA,NA,NA,NA,NA,NA,NA
"Adults in households where someone had a loss in employment income since March 13, 2020",NA,NA,NA,NA,NA,NA,NA
NA,NA,Total Loss of Employment Income,NA,Percent Loss of Employment Income,NA,NA,NA
Area,Week,Number,Margin of Error +/-,Percent,Percent Margin of Error +/-,Measure Universe,Total Population age 18+
United States,"5 - May 28-June 2, 2020",119748238,1446847,48.3,0.6,247966709,"249,170,916"
-> States,NA,NA,NA,NA,NA,NA,--
Alabama,"5 - May 28-June 2, 2020",1437102,121576,38.8,3.3,3700488,"3,717,378"
Alaska,"5 - May 28-June 2, 2020",236656,21285,45.3,4.1,522994,"524,925"
Arizona,"5 - May 28-June 2, 2020",2554328,158204,45.8,2.8,5572228,"5,597,268"
Arkansas,"5 - May 28-June 2, 2020",842207,78780,37.6,3.5,2238540,"2,246,527"
California,"5 - May 28-June 2, 2020",15419448,511714,51.9,1.7,29731964,"29,939,021"
Colorado,"5 - May 28-June 2, 2020",2143049,148952,48.3,3.4,4437478,"4,454,718"
Connecticut,"5 - May 28-June 2, 2020",1303380,85106,48,3.1,2717751,"2,732,423"
Delaware,"5 - May 28-June 2, 2020",306042,27658,40.8,3.6,750475,"754,637"
District of Columbia,"5 - May 28-June 2, 2020",226000,23309,41.7,4.3,541827,"542,635"
Florida,"5 - May 28-June 2, 2020",8604022,386091,50.8,2.2,16952086,"17,085,385"
Georgia,"5 - May 28-June 2, 2020",3833526,225997,48.4,2.9,7921641,"7,955,983"
Hawaii,"5 - May 28-June 2, 2020",631457,41268,59.2,3.9,1066446,"1,073,229"
Idaho,"5 - May 28-June 2, 2020",535712,47855,39.9,3.6,1341956,"1,343,198"
Illinois,"5 - May 28-June 2, 2020",4149811,331014,43.7,3.5,9492799,"9,546,424"
Indiana,"5 - May 28-June 2, 2020",2200125,163228,43.9,3.3,5006843,"5,015,550"
Iowa,"5 - May 28-June 2, 2020",940145,70019,40.3,3,2332004,"2,342,905"
Kansas,"5 - May 28-June 2, 2020",918833,71850,43.1,3.4,2131059,"2,140,957"
Kentucky,"5 - May 28-June 2, 2020",1470664,109433,44.1,3.3,3334067,"3,344,102"
Louisiana,"5 - May 28-June 2, 2020",1655413,127191,48.4,3.7,3418421,"3,431,432"
Maine,"5 - May 28-June 2, 2020",456203,39663,43.1,3.7,1058693,"1,065,620"
Maryland,"5 - May 28-June 2, 2020",2070202,162793,45.3,3.6,4566888,"4,586,920"
Massachusetts,"5 - May 28-June 2, 2020",2591401,175750,48.8,3.3,5305343,"5,324,065"
Michigan,"5 - May 28-June 2, 2020",4363089,210566,57.3,2.8,7609528,"7,644,458"
Minnesota,"5 - May 28-June 2, 2020",2003380,137526,47.3,3.2,4234787,"4,241,624"
Mississippi,"5 - May 28-June 2, 2020",1113036,83681,51,3.8,2183732,"2,189,670"
Missouri,"5 - May 28-June 2, 2020",1931278,128830,42,2.8,4601448,"4,617,880"
Montana,"5 - May 28-June 2, 2020",290730,20588,35.5,2.5,819362,"822,204"
Nebraska,"5 - May 28-June 2, 2020",511948,54746,36.1,3.9,1416654,"1,418,191"
Nevada,"5 - May 28-June 2, 2020",1376221,65794,57.5,2.8,2392564,"2,399,457"
New Hampshire,"5 - May 28-June 2, 2020",470806,39584,44,3.7,1071009,"1,073,014"
New Jersey,"5 - May 28-June 2, 2020",3589084,183832,53.5,2.6,6710631,"6,776,822"
New Mexico,"5 - May 28-June 2, 2020",742728,52150,46.9,3.2,1583090,"1,589,574"
New York,"5 - May 28-June 2, 2020",8420249,475998,56.9,3.2,14810417,"14,847,080"
North Carolina,"5 - May 28-June 2, 2020",3598578,271758,45,3.4,8002985,"8,017,566"
North Dakota,"5 - May 28-June 2, 2020",195370,23255,34.9,4.2,559542,"561,016"
Ohio,"5 - May 28-June 2, 2020",4292345,297494,48.9,3.4,8774582,"8,822,539"
Oklahoma,"5 - May 28-June 2, 2020",1312450,114853,45.4,3.9,2893371,"2,916,436"
Oregon,"5 - May 28-June 2, 2020",1671449,108877,50.8,3.3,3291487,"3,302,727"
Pennsylvania,"5 - May 28-June 2, 2020",4933539,268061,50.7,2.8,9736136,"9,776,154"
Rhode Island,"5 - May 28-June 2, 2020",403263,38392,49.5,4.7,814580,"817,559"
South Carolina,"5 - May 28-June 2, 2020",1718718,159148,43.7,4,3930115,"3,969,123"
South Dakota,"5 - May 28-June 2, 2020",247613,27174,38.6,4.2,642014,"642,658"
Tennessee,"5 - May 28-June 2, 2020",2316787,150792,44.7,2.9,5185288,"5,221,475"
Texas,"5 - May 28-June 2, 2020",10594761,454409,49.9,2.2,21242942,"21,356,906"
Utah,"5 - May 28-June 2, 2020",997071,64911,43.8,2.8,2278341,"2,281,207"
Vermont,"5 - May 28-June 2, 2020",229075,23890,47.3,4.9,484709,"485,485"
Virginia,"5 - May 28-June 2, 2020",2657548,203906,41.2,3.1,6457643,"6,472,737"
Washington,"5 - May 28-June 2, 2020",2769312,168306,47.2,2.9,5861620,"5,890,357"
West Virginia,"5 - May 28-June 2, 2020",527412,71917,38.3,5.2,1377751,"1,379,576"
Wisconsin,"5 - May 28-June 2, 2020",1779463,144933,40.2,3.3,4427959,"4,438,719"
Wyoming,"5 - May 28-June 2, 2020",165209,19659,38.4,4.6,430434,"433,400"
-> Metro Areas,NA,NA,NA,NA,NA,NA,--
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area","5 - May 28-June 2, 2020",2162186,149396,50.8,2.9,4254306,"4,278,111"
"Boston-Cambridge-Newton, MA-NH Metro Area","5 - May 28-June 2, 2020",1850498,149336,47.7,3.7,3879201,"3,890,353"
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area","5 - May 28-June 2, 2020",3361845,284557,48.5,3.6,6926146,"6,970,152"
"Dallas-Fort Worth-Arlington, TX Metro Area","5 - May 28-June 2, 2020",2751668,418134,46.8,4,5882690,"5,899,479"
"Detroit-Warren-Dearborn, MI Metro Area","5 - May 28-June 2, 2020",2149212,213214,61.2,4.4,3510175,"3,532,103"
