"Loss of Employment Income, Household Pulse Survey","","","","","","",""
"Adults in households where someone had a loss in employment income since March 13, 2020","","","","","","",""
"","","Total Loss of Employment Income","","Percent Loss of Employment Income","","",""
"Area","Week","Number","Margin of Error +/-","Percent","Percent Margin of Error +/-","Measure Universe","Total Population age 18+"
"United States","9 - June 25-30, 2020","121735116","1423697","49.1","0.6","248145871","249,170,916"
" -> States","","","","","","","--"
"Alabama","9 - June 25-30, 2020","1511934","140808","40.9","3.8","3695893","3,717,378"
"Alaska","9 - June 25-30, 2020","248427","18954","47.5","3.6","523027","524,925"
"Arizona","9 - June 25-30, 2020","2525519","217207","45.4","3.9","5567870","5,597,268"
"Arkansas","9 - June 25-30, 2020","912177","85150","40.6","3.8","2244902","2,246,527"
"California","9 - June 25-30, 2020","16184636","692116","54.1","2.3","29891164","29,939,021"
"Colorado","9 - June 25-30, 2020","2064279","153011","46.6","3.4","4434327","4,454,718"
"Connecticut","9 - June 25-30, 2020","1343684","99564","49.3","3.6","2724950","2,732,423"
"Delaware","9 - June 25-30, 2020","300503","29130","40","3.9","752049","754,637"
"District of Columbia","9 - June 25-30, 2020","196886","21234","36.7","3.9","536210","542,635"
"Florida","9 - June 25-30, 2020","8596822","490426","50.5","2.9","17020651","17,085,385"
"Georgia","9 - June 25-30, 2020","4138469","281575","52.2","3.5","7931136","7,955,983"
"Hawaii","9 - June 25-30, 2020","560701","52638","52.5","4.9","1067001","1,073,229"
"Idaho","9 - June 25-30, 2020","502696","56336","37.7","4.2","1334768","1,343,198"
"Illinois","9 - June 25-30, 2020","4310133","284026","45.4","3","9495438","9,546,424"
"Indiana","9 - June 25-30, 2020","2199339","153525","44","3","5002141","5,015,550"
"Iowa","9 - June 25-30, 2020","982563","92446","42.2","4","2327729","2,342,905"
"Kansas","9 - June 25-30, 2020","906614","66971","42.4","3.1","2139430","2,140,957"
"Kentucky","9 - June 25-30, 2020","1678436","138390","50.3","4.1","3337690","3,344,102"
"Louisiana","9 - June 25-30, 2020","1840172","127242","53.7","3.7","3427310","3,431,432"
"Maine","9 - June 25-30, 2020","510395","57768","48","5.4","1063391","1,065,620"
"Maryland","9 - June 25-30, 2020","2116676","167321","46.4","3.7","4565814","4,586,920"
"Massachusetts","9 - June 25-30, 2020","2663383","180148","50.2","3.4","5306221","5,324,065"
"Michigan","9 - June 25-30, 2020","4111883","300233","54","3.9","7612547","7,644,458"
"Minnesota","9 - June 25-30, 2020","1933034","140013","45.7","3.3","4227908","4,241,624"
"Mississippi","9 - June 25-30, 2020","1129624","104015","51.7","4.8","2186333","2,189,670"
"Missouri","9 - June 25-30, 2020","2451663","149627","53.3","3.2","4599980","4,617,880"
"Montana","9 - June 25-30, 2020","356234","39644","43.4","4.8","821348","822,204"
"Nebraska","9 - June 25-30, 2020","507086","62742","35.8","4.4","1415248","1,418,191"
"Nevada","9 - June 25-30, 2020","1454260","89812","60.8","3.8","2392679","2,399,457"
"New Hampshire","9 - June 25-30, 2020","521034","43457","48.8","4","1068159","1,073,014"
"New Jersey","9 - June 25-30, 2020","3550754","236432","53","3.5","6697014","6,776,822"
"New Mexico","9 - June 25-30, 2020","665650","68503","42","4.3","1584532","1,589,574"
"New York","9 - June 25-30, 2020","7980671","521554","54.1","3.5","14749416","14,847,080"
"North Carolina","9 - June 25-30, 2020","3520230","263852","44.2","3.3","7964911","8,017,566"
"North Dakota","9 - June 25-30, 2020","240862","28019","43.4","5","554674","561,016"
"Ohio","9 - June 25-30, 2020","3878273","359083","44.4","4.1","8729253","8,822,539"
"Oklahoma","9 - June 25-30, 2020","1294956","113185","44.4","3.9","2913767","2,916,436"
"Oregon","9 - June 25-30, 2020","1456984","124298","44.4","3.8","3282773","3,302,727"
"Pennsylvania","9 - June 25-30, 2020","4814344","361996","49.4","3.7","9751033","9,776,154"
"Rhode Island","9 - June 25-30, 2020","388797","31737","47.7","3.9","814824","817,559"
"South Carolina","9 - June 25-30, 2020","1693175","128870","42.8","3.3","3952363","3,969,123"
"South Dakota","9 - June 25-30, 2020","229336","29288","35.9","4.6","639682","642,658"
"Tennessee","9 - June 25-30, 2020","2497947","167846","47.9","3.2","5211678","5,221,475"
"Texas","9 - June 25-30, 2020","11438080","437081","53.7","2.1","21295474","21,356,906"
"Utah","9 - June 25-30, 2020","995295","73763","43.8","3.2","2270604","2,281,207"
"Vermont","9 - June 25-30, 2020","245105","25415","50.6","5.2","484590","485,485"
"Virginia","9 - June 25-30, 2020","2807514","201588","43.4","3.1","6462174","6,472,737"
"Washington","9 - June 25-30, 2020","2674421","180990","45.5","3.1","5873570","5,890,357"
"West Virginia","9 - June 25-30, 2020","609216","65468","44.3","4.8","1376056","1,379,576"
"Wisconsin","9 - June 25-30, 2020","1829981","196388","41.6","4.5","4397008","4,438,719"
"Wyoming","9 - June 25-30, 2020","164264","15415","38.5","3.7","427162","433,400"
" -> Metro Areas","","","","","","","--"
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area","9 - June 25-30, 2020","2409033","275766","50.7","4.5","4751528","4,760,451"
"Boston-Cambridge-Newton, MA-NH Metro Area","9 - June 25-30, 2020","1762635","179985","47.1","3.9","3739740","3,757,676"
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area","9 - June 25-30, 2020","3446326","277580","48","3.2","7176582","7,218,480"
"Dallas-Fort Worth-Arlington, TX Metro Area","9 - June 25-30, 2020","2670034","245472","48.9","3.8","5457535","5,470,197"
"Detroit-Warren-Dearborn, MI Metro Area","9 - June 25-30, 2020","2260427","265356","58.7","4.6","3854068","3,856,313"
"Houston-The Woodlands-Sugar Land, TX Metro Area","9 - June 25-30, 2020","3641199","411762","63.7","3.5","5719778","5,731,397"
"Los Angeles-Long Beach-Anaheim, CA Metro Area","9 - June 25-30, 2020","6000960","568825","58.4","3.6","10268764","10,278,916"
"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","9 - June 25-30, 2020","2943609","324483","60.5","5","4866723","4,892,933"
"New York-Newark-Jersey City, NY-NJ-PA Metro Area","9 - June 25-30, 2020","7990449","598622","58.3","3.2","13705487","13,838,022"
