"Loss of Employment Income, Household Pulse Survey","","","","","","",""
"Adults in households where someone had a loss in employment income since March 13, 2020","","","","","","",""
"","","Total Loss of Employment Income","","Percent Loss of Employment Income","","",""
"Area","Week","Number","Margin of Error +/-","Percent","Percent Margin of Error +/-","Measure Universe","Total Population age 18+"
"United States","1 - April 23-May 5, 2020","116428453","1483172","47","0.6","247758207","249,170,916"
" -> States","","","","","","","--"
"Alabama","1 - April 23-May 5, 2020","1594821","127827","43","3.5","3707927","3,717,378"
"Alaska","1 - April 23-May 5, 2020","214429","14335","41","2.7","523185","524,925"
"Arizona","1 - April 23-May 5, 2020","2339734","197089","42.2","3.5","5545026","5,597,268"
"Arkansas","1 - April 23-May 5, 2020","859752","109557","38.4","4.9","2236490","2,246,527"
"California","1 - April 23-May 5, 2020","15956140","610123","53.6","2.1","29791277","29,939,021"
"Colorado","1 - April 23-May 5, 2020","1986916","134956","44.8","3","4433831","4,454,718"
"Connecticut","1 - April 23-May 5, 2020","1287224","106390","47.3","3.9","2722064","2,732,423"
"Delaware","1 - April 23-May 5, 2020","338385","25724","45","3.5","751616","754,637"
"District of Columbia","1 - April 23-May 5, 2020","206556","18208","38.1","3.4","541919","542,635"
