"Loss of Employment Income, Household Pulse Survey","","","","","","",""
"Adults in households where someone had a loss in employment income since March 13, 2020","","","","","","",""
"","","Total Loss of Employment Income","","Percent Loss of Employment Income","","",""
"Area","Week","Number","Margin of Error +/-","Percent","Percent Margin of Error +/-","Measure Universe","Total Population age 18+"
"United States","8 - June 18-23, 2020","119795612","1637747","48.3","0.7","248113253","249,170,916"
" -> States","","","","","","","--"
"Alabama","8 - June 18-23, 2020","1616410","164644","43.6","4.4","3709542","3,717,378"
"Alaska","8 - June 18-23, 2020","233971","18785","44.6","3.6","524475","524,925"
"Arizona","8 - June 18-23, 2020","2438386","177987","43.8","3.2","5570956","5,597,268"
"Arkansas","8 - June 18-23, 2020","894199","93258","39.9","4.2","2240942","2,246,527"
"California","8 - June 18-23, 2020","16596234","687179","55.8","2.3","29730788","29,939,021"
"Colorado","8 - June 18-23, 2020","1966014","158468","44.2","3.6","4443265","4,454,718"
"Connecticut","8 - June 18-23, 2020","1221502","105864","44.8","3.9","2727556","2,732,423"
"Delaware","8 - June 18-23, 2020","348734","34537","46.3","4.6","753520","754,637"
"District of Columbia","8 - June 18-23, 2020","198598","24591","36.8","4.5","539540","542,635"
"Florida","8 - June 18-23, 2020","8036850","492019","47.2","2.9","17029902","17,085,385"
"Georgia","8 - June 18-23, 2020","3888425","256528","49","3.2","7943120","7,955,983"
"Hawaii","8 - June 18-23, 2020","489326","39987","46.3","3.7","1056292","1,073,229"
"Idaho","8 - June 18-23, 2020","560252","50514","41.8","3.8","1339629","1,343,198"
"Illinois","8 - June 18-23, 2020","4275139","294679","44.9","3.1","9511444","9,546,424"
"Indiana","8 - June 18-23, 2020","2171348","164330","43.4","3.3","5005537","5,015,550"
"Iowa","8 - June 18-23, 2020","900643","92461","38.7","3.9","2328486","2,342,905"
"Kansas","8 - June 18-23, 2020","847365","72351","39.9","3.4","2124699","2,140,957"
"Kentucky","8 - June 18-23, 2020","1765950","124396","52.8","3.7","3342563","3,344,102"
"Louisiana","8 - June 18-23, 2020","1771667","142460","51.8","4.2","3419795","3,431,432"
"Maine","8 - June 18-23, 2020","437122","48265","41.1","4.5","1062538","1,065,620"
"Maryland","8 - June 18-23, 2020","2002190","155583","43.7","3.4","4579505","4,586,920"
"Massachusetts","8 - June 18-23, 2020","2574705","145896","48.4","2.7","5317735","5,324,065"
"Michigan","8 - June 18-23, 2020","4062534","218876","53.3","2.9","7625465","7,644,458"
"Minnesota","8 - June 18-23, 2020","1882078","150270","44.6","3.6","4222524","4,241,624"
"Mississippi","8 - June 18-23, 2020","1193740","81342","54.7","3.7","2180794","2,189,670"
"Missouri","8 - June 18-23, 2020","1980836","196411","42.9","4.3","4614007","4,617,880"
"Montana","8 - June 18-23, 2020","361511","32141","44","3.9","820837","822,204"
"Nebraska","8 - June 18-23, 2020","456145","45483","32.3","3.2","1412483","1,418,191"
"Nevada","8 - June 18-23, 2020","1531230","76316","63.9","3.2","2395033","2,399,457"
"New Hampshire","8 - June 18-23, 2020","536144","46040","50.1","4.3","1069385","1,073,014"
"New Jersey","8 - June 18-23, 2020","3632907","219031","54.2","3.3","6706194","6,776,822"
"New Mexico","8 - June 18-23, 2020","684375","63547","43.1","4","1587768","1,589,574"
"New York","8 - June 18-23, 2020","7586252","623106","51.4","4.2","14764811","14,847,080"
"North Carolina","8 - June 18-23, 2020","3776077","251677","47.3","3.1","7981213","8,017,566"
"North Dakota","8 - June 18-23, 2020","245058","30950","44","5.6","557313","561,016"
"Ohio","8 - June 18-23, 2020","3830861","299517","43.5","3.4","8806012","8,822,539"
"Oklahoma","8 - June 18-23, 2020","1307159","101081","44.9","3.5","2910900","2,916,436"
"Oregon","8 - June 18-23, 2020","1411508","121943","42.9","3.7","3290482","3,302,727"
"Pennsylvania","8 - June 18-23, 2020","4976558","345923","51.2","3.6","9725659","9,776,154"
"Rhode Island","8 - June 18-23, 2020","407947","33363","50.1","4.1","813507","817,559"
"South Carolina","8 - June 18-23, 2020","1626464","200177","41","5","3964293","3,969,123"
"South Dakota","8 - June 18-23, 2020","230378","28438","36","4.5","639293","642,658"
"Tennessee","8 - June 18-23, 2020","2644987","212673","50.8","4.1","5201860","5,221,475"
"Texas","8 - June 18-23, 2020","10814471","516673","50.9","2.4","21244584","21,356,906"
"Utah","8 - June 18-23, 2020","966105","68611","42.4","3","2276102","2,281,207"
"Vermont","8 - June 18-23, 2020","248140","20448","51.1","4.2","485485","485,485"
"Virginia","8 - June 18-23, 2020","2859468","217818","44.6","3.4","6409022","6,472,737"
"Washington","8 - June 18-23, 2020","2702006","187121","45.9","3.2","5884167","5,890,357"
"West Virginia","8 - June 18-23, 2020","527566","58608","38.4","4.3","1373333","1,379,576"
"Wisconsin","8 - June 18-23, 2020","1925290","179250","43.6","4","4416929","4,438,719"
"Wyoming","8 - June 18-23, 2020","152787","20341","35.4","4.7","431967","433,400"
" -> Metro Areas","","","","","","","--"
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area","8 - June 18-23, 2020","2178224","223371","48.2","4.3","4519637","4,527,471"
"Boston-Cambridge-Newton, MA-NH Metro Area","8 - June 18-23, 2020","1851478","145238","48","3.5","3859767","3,866,129"
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area","8 - June 18-23, 2020","3531244","307756","49.1","3.6","7193904","7,233,165"
"Dallas-Fort Worth-Arlington, TX Metro Area","8 - June 18-23, 2020","3390742","390738","57.8","5","5870232","5,885,504"
"Detroit-Warren-Dearborn, MI Metro Area","8 - June 18-23, 2020","2166461","207384","58.3","4.3","3714345","3,721,741"
"Houston-The Woodlands-Sugar Land, TX Metro Area","8 - June 18-23, 2020","3093338","374079","53.7","4.8","5760995","5,776,875"
"Los Angeles-Long Beach-Anaheim, CA Metro Area","8 - June 18-23, 2020","5939728","439208","58.2","4.1","10203073","10,265,915"
"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","8 - June 18-23, 2020","2746682","283036","62.7","4.4","4379176","4,394,658"
"New York-Newark-Jersey City, NY-NJ-PA Metro Area","8 - June 18-23, 2020","7847760","567402","54.3","3.3","14463371","14,574,230"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","8 - June 18-23, 2020","2827278","370089","56.1","4.5","5038027","5,045,198"
"Phoenix-Mesa-Chandler, AZ Metro Area","8 - June 18-23, 2020","1741389","148778","45.5","3.4","3825417","3,833,985"
"Riverside-San Bernardino-Ontario, CA Metro Area","8 - June 18-23, 2020","2347343","356931","56.3","5.9","4167972","4,174,788"
"San Francisco-Oakland-Berkeley, CA Metro Area","8 - June 18-23, 2020","1844426","301551","52.7","5","3500437","3,507,547"
"Seattle-Tacoma-Bellevue, WA Metro Area","8 - June 18-23, 2020","1374103","140199","47.1","3.5","2915395","2,916,323"
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","8 - June 18-23, 2020","1990638","174144","43.2","2.8","4603544","4,622,240"
"Source: U.S. Census Bureau, Household Pulse Survey","","","","","","",""
